Index,MaternalLine,FlowerHead,current_30arcsec_annualPET,current_30arcsec_aridityIndexThornthwaite,current_30arcsec_climaticMoistureIndex,current_30arcsec_continentality,current_30arcsec_embergerQ,current_30arcsec_growingDegDays0,current_30arcsec_growingDegDays5,current_30arcsec_maxTempColdest,current_30arcsec_minTempWarmest,current_30arcsec_monthCountByTemp10,current_30arcsec_PETColdestQuarter,current_30arcsec_PETDriestQuarter,current_30arcsec_PETseasonality,current_30arcsec_PETWarmestQuarter,current_30arcsec_PETWettestQuarter,current_30arcsec_thermicityIndex,wc2.1_30s_bio_1,wc2.1_30s_bio_10,wc2.1_30s_bio_11,wc2.1_30s_bio_12,wc2.1_30s_bio_13,wc2.1_30s_bio_14,wc2.1_30s_bio_15,wc2.1_30s_bio_16,wc2.1_30s_bio_17,wc2.1_30s_bio_18,wc2.1_30s_bio_19,wc2.1_30s_bio_2,wc2.1_30s_bio_3,wc2.1_30s_bio_4,wc2.1_30s_bio_5,wc2.1_30s_bio_6,wc2.1_30s_bio_7,wc2.1_30s_bio_8,wc2.1_30s_bio_9
1,2021-1843-2,23,1169.0820068359376,29.945999908447266,-0.03599999919533729,24.35999984741211,109.22599945068359,50519.7,40178.7,51.6,178.2,7,31.22599983215332,81.53400115966797,5669.97802734375,167.4419952392578,131.35200042724608,192,12.873333358764649,23.639999771118163,1.409999918937683,1130,118.8,69.8,15.95777473449707,338,238.6,312.6,253.8,12.463333129882812,34.2774169921875,897.6522338867187,31.04000015258789,-5.320000171661377,36.35999984741211,21.56333351135254,13.926666831970214
2,2021-1843-2,17,1169.0820068359376,29.945999908447266,-0.03599999919533729,24.35999984741211,109.22599945068359,50519.7,40178.7,51.6,178.2,7,31.22599983215332,81.53400115966797,5669.97802734375,167.4419952392578,131.35200042724608,192,12.873333358764649,23.639999771118163,1.409999918937683,1130,118.8,69.8,15.95777473449707,338,238.6,312.6,253.8,12.463333129882812,34.2774169921875,897.6522338867187,31.04000015258789,-5.320000171661377,36.35999984741211,21.56333351135254,13.926666831970214
3,2023-0185-2,3,1177.42333984375,32.568333307902016,-0.04166666604578495,25.574999809265137,107.60333251953125,53685.5,42597,48.166666666666664,192.83333333333334,7,30.795000076293945,121.28333155314128,5757.918294270833,169.52333068847656,109.31499862670898,217.29166666666666,13.604166666666666,24.583333333333332,1.7583333055178325,1147.1666666666667,126.16666666666667,72,18.87407048543294,354.8333333333333,228,286,254.33333333333334,11.588889122009277,31.85223452250163,919.5467224121094,31.666667302449543,-4.716666618982951,36.38333384195963,13.413888931274414,20.05277729034424
4,2021-1838-2,22,1266.4375,33.03249979019165,-0.004999999888241291,23.762499809265137,120.87250137329102,61290,43405.875,76,189.25,7,38.80749988555908,127.24499893188477,5611.657470703125,173.74999618530273,119.66999816894531,231.4375,14.289583206176758,24.366666793823242,3.6124998927116394,1277.75,135.5,77.25,15.408957242965698,368.5,259,296.75,326.5,13.208333253860474,37.44326210021973,836.9310607910156,31.825000286102295,-3.450000047683716,35.27500057220459,13.945833683013916,20.34166717529297
5,2021-1836-2,7,1252.7499694824219,29.427499771118164,0.04249999998137355,23.625,126.38749885559082,59661,42440.625,73.5,185.25,7,38.41499996185303,125.78499984741211,5546.0201416015625,171.72249603271484,118.5674991607666,219.875,14.0270836353302,23.891666412353516,3.5166667699813843,1317,139.5,80.5,15.237714290618896,379.25,268.25,304,336.5,13.079166412353516,37.610777854919434,820.1867218017578,31.274999618530273,-3.5,34.77499961853027,13.71666693687439,19.96250057220459
6,2021-1836-2,24,1252.7499694824219,29.427499771118164,0.04249999998137355,23.625,126.38749885559082,59661,42440.625,73.5,185.25,7,38.41499996185303,125.78499984741211,5546.0201416015625,171.72249603271484,118.5674991607666,219.875,14.0270836353302,23.891666412353516,3.5166667699813843,1317,139.5,80.5,15.237714290618896,379.25,268.25,304,336.5,13.079166412353516,37.610777854919434,820.1867218017578,31.274999618530273,-3.5,34.77499961853027,13.71666693687439,19.96250057220459
7,2021-0838-1,8,1276.9825134277344,33.58500003814697,-0.0024999999441206455,24.237500190734863,120.09000015258789,61933.5,43942.5,75,191,7,38.01499843597412,128.13500022888184,5813.452392578125,177.9124984741211,120.36750030517578,239.3125,14.235416412353516,24.641666412353516,3.1916667222976685,1296.75,135.25,82.75,14.958032131195068,369.75,261.25,302.25,333.75,13.09166669845581,36.21470260620117,865.592529296875,32.125,-4.024999976158142,36.14999961853027,13.916666746139526,20.46250009536743
8,2018-1133-2,11,1255.1880126953124,26.602000045776368,0.061999999731779096,23.549999237060547,130.73599548339843,62074.8,43821,75.2,189.4,7,38.15199966430664,125.86799926757813,5597.8458984375,172.5279998779297,119.00999908447265,233.25,14.338333320617675,24.519999694824218,3.660000038146973,1344.2,137.4,83.4,13.982419395446778,376.4,281.4,324,344.4,12.760000228881836,36.37384185791016,841.6816650390625,31.75999984741211,-3.3199999809265135,35.07999954223633,14.046666526794434,20.310000228881837
9,2021-0838-1,7,1276.9825134277344,33.58500003814697,-0.0024999999441206455,24.237500190734863,120.09000015258789,61933.5,43942.5,75,191,7,38.01499843597412,128.13500022888184,5813.452392578125,177.9124984741211,120.36750030517578,239.3125,14.235416412353516,24.641666412353516,3.1916667222976685,1296.75,135.25,82.75,14.958032131195068,369.75,261.25,302.25,333.75,13.09166669845581,36.21470260620117,865.592529296875,32.125,-4.024999976158142,36.14999961853027,13.916666746139526,20.46250009536743
10,2018-1133-2,7,1255.1880126953124,26.602000045776368,0.061999999731779096,23.549999237060547,130.73599548339843,62074.8,43821,75.2,189.4,7,38.15199966430664,125.86799926757813,5597.8458984375,172.5279998779297,119.00999908447265,233.25,14.338333320617675,24.519999694824218,3.660000038146973,1344.2,137.4,83.4,13.982419395446778,376.4,281.4,324,344.4,12.760000228881836,36.37384185791016,841.6816650390625,31.75999984741211,-3.3199999809265135,35.07999954223633,14.046666526794434,20.310000228881837
