Species,TemporaryID,OriIndex,RanIndex,RanTray,TrayPosition,MaternalLine,PlantingDate,FirstLeafDate,TransplantDate,Pot,Date.1,Surv.1,numRos.1,numStem.1,stemDia.1,stemLength.1,numLeaf.1,leafLong.1,leafWide.1,flwrBud.1,flwrOpen.1,fruitPres.1,fruitDeh.1,Date.2,Surv.2,flwrBud.2,flwrOpen.2,fruitPres.2,fruitDeh.2,Date.3,Surv.3,leafLong.3,leafWide.3,flwrBud.3,flwrOpen.3,fruitPres.3,fruitDeh.3,Date.4,Surv.4,flwrBud.4,flwrOpen.4,fruitPres.4,fruitDeh.4,Date.5,Surv.5,flwrBud.5,flwrOpen.5,fruitPres.5,fruitDeh.5,Date.6,Surv.6,numFlowerStem.6,leafLong.6,leafWide.6,Date.7,flwrBud.7,flwrOpen.7,fruitPres.7,fruitDeh.7,Date.8,Surv.8,flwrBud.8,flwrOpen.8,fruitPres.8,fruitDeh.8,Date.9,Surv.9,flwrBud.9,flwrOpen.9,fruitPres.9,fruitDeh.9,Date.10,Surv.10,numFlowerStem.10,leafLong.10,leafWide.10,Date.11,Surv.11,flwrBud.11,flwrOpen.11,fruitPres.11,fruitDeh.11,Date.12,Surv.12,flwrBud.12,flwrOpen.12,fruitPres.12,fruitDeh.12,Date.13,Surv.13,flwrBud.13,flwrOpen.13,fruitPres.13,fruitDeh.13,Date.14,Surv.14,flwrBud.14,flwrOpen.14,fruitPres.14,fruitDeh.14,Date.15,Surv.15,flwrBud.15,flwrOpen.15,fruitPres.15,fruitDeh.15
Physaria globosa,17-5-8,238,1,1,T17R5C8,2021-1843-2 23,3/23/24,3/30/24,4/26/24,,5/14/24,Y,2,1,1.31,5,23,8,3.2,N ,N ,N ,N ,5/21/24,Y,N,N,N,N,5/28/24,Y,7.4,3.2,0,0,N,N,5/31/24,Y,0,0,N,N,6/3/24,Y,0,0,0,0,6/4/24,Y,0,8.6,3.2,6/5/24,0,0,0,0,6/7/24,Y,0,0,0,0,6/10/24,Y,0,0,0,0,6/11/24,Y,0,7.5,3,6/12/24,Y,0,0,0,0,6/14/24,Y,0,0,0,0,6/17/24,Y,0,0,0,0,6/19/24,Y,0,0,0,0,6/24/24,Y,0,0,0,0
Physaria globosa,16-3-8,146,2,1,T16R3C8,2021-1843-2 17,3/21/24,3/28/24,4/26/24,,5/14/24,Y,2,1,1.34,6.1,16,5.7,2.7,N ,N ,N ,N ,5/21/24,Y,N,N,N,N,5/28/24,Y,7.5,3.3,0,0,N,N,5/31/24,Y,0,0,N,N,6/3/24,Y,0,0,0,0,6/4/24,Y,0,7.2,3.3,6/5/24,0,0,0,0,6/7/24,Y,0,0,0,0,6/10/24,Y,0,0,0,0,6/11/24,Y,0,7.5,2.5,6/12/24,Y,0,0,0,0,6/14/24,Y,0,0,0,0,6/17/24,Y,0,0,0,0,6/19/24,Y,0,0,0,0,6/24/24,Y,0,0,0,0
Physaria globosa,15-6-2,106,3,1,T15R6C2,2023-0185-2 3,3/22/24,3/29/24,4/26/24,,5/14/24,Y,1,1,1.59,4.3,25,10.1,3.2,N ,N ,N ,N ,5/21/24,Y,N,N,N,N,5/28/24,Y,11.8,3.5,0,0,N,N,5/31/24,Y,0,0,N,N,6/3/24,Y,0,0,0,0,6/4/24,Y,0,12,3.6,6/5/24,0,0,0,0,6/7/24,Y,0,0,0,0,6/10/24,Y,0,0,0,0,6/11/24,Y,0,11.5,3.5,6/12/24,Y,0,0,0,0,6/14/24,Y,0,0,0,0,6/17/24,Y,0,0,0,0,6/19/24,Y,0,0,0,0,6/24/24,Y,0,0,0,0
Physaria globosa,18-2-12,273,4,1,T18R2C12,2021-1838-2 22,3/24/24,4/1/24,4/26/24,,5/14/24,Y,1,1,1.33,8.4,18,5.7,2.8,N ,N ,N ,N ,5/21/24,Y,N,N,N,N,5/28/24,Y,6.7,3.2,0,0,N,N,5/31/24,Y,0,0,N,N,6/3/24,Y,0,0,0,0,6/4/24,Y,0,7.3,2.9,6/5/24,0,0,0,0,6/7/24,Y,0,0,0,0,6/10/24,Y,0,0,0,0,6/11/24,Y,0,6.5,3,6/12/24,Y,0,0,0,0,6/14/24,Y,0,0,0,0,6/17/24,Y,0,0,0,0,6/19/24,Y,0,0,0,0,6/24/24,Y,0,0,0,0
Physaria globosa,18-5-3,297,5,1,T18R5C3,2021-1836-2 7,3/24/24,3/31/24,4/26/24,,5/14/24,Y,2,1,1.38,7.8,32,6.4,3,N ,N ,N ,N ,5/21/24,Y,N,N,N,N,5/28/24,Y,7.2,3.1,0,0,N,N,5/31/24,Y,0,0,N,N,6/3/24,Y,0,0,0,0,6/4/24,Y,0,7.9,3.5,6/5/24,0,0,0,0,6/7/24,Y,0,0,0,0,6/10/24,Y,0,0,0,0,6/11/24,Y,0,7.5,3.5,6/12/24,Y,0,0,0,0,6/14/24,Y,0,0,0,0,6/17/24,Y,0,0,0,0,6/19/24,Y,0,0,0,0,6/24/24,Y,0,0,0,0
Physaria globosa,19-6-9,381,6,1,T19R6C9,2021-1836-2 24,3/27/24,4/4/24,4/26/24,,5/14/24,Y,2,1,1.12,8.4,31,6.9,2.6,N ,N ,N ,N ,5/21/24,Y,N,N,N,N,5/28/24,Y,9,3.4,0,0,N,N,5/31/24,Y,0,0,N,N,6/3/24,Y,0,0,0,0,6/4/24,Y,0,9.1,3.4,6/5/24,0,0,0,0,6/7/24,Y,0,0,0,0,6/10/24,Y,0,0,0,0,6/11/24,Y,0,9.5,3,6/12/24,Y,0,0,0,0,6/14/24,Y,0,0,0,0,6/17/24,Y,0,0,0,0,6/19/24,Y,0,0,0,0,6/24/24,Y,0,0,0,0
Physaria globosa,15-3-1,73,7,1,T15R3C1,2021-0838-1 8,3/21/24,3/30/24,4/26/24,,5/14/24,Y,3,1,1.64,7.4,15,6.7,2.6,N ,N ,N ,N ,5/21/24,Y,Y,N,N,N,5/28/24,Y,7.2,2.6,3,2,N,N,5/31/24,Y,3,2,N,N,6/3/24,Y,4,4,0,0,6/4/24,Y,5,7,2.6,6/5/24,2,4,2,0,6/7/24,Y,5,5,2,0,6/10/24,Y,5,5,3,0,6/11/24,Y,0,6.75,2.5,6/12/24,Y,5,5,4,0,6/14/24,Y,5,5,4,0,6/17/24,Y,5,5,4,0,6/19/24,Y,5,5,4,0,6/24/24,Y,5,4,4,0
Physaria globosa,18-4-9,291,8,1,T18R4C9,2018-1133-2 11,3/24/24,4/1/24,4/26/24,,5/14/24,Y,2,1,1.35,8,21,6.1,2.9,N ,N ,N ,N ,5/21/24,Y,N,N,N,N,5/28/24,Y,7.7,3,0,0,N,N,5/31/24,Y,0,0,N,N,6/3/24,Y,0,0,0,0,6/4/24,Y,0,8.2,3.1,6/5/24,0,0,0,0,6/7/24,Y,0,0,0,0,6/10/24,Y,0,0,0,0,6/11/24,Y,0,7.8,3,6/12/24,Y,0,0,0,0,6/14/24,Y,0,0,0,0,6/17/24,Y,0,0,0,0,6/19/24,Y,0,0,0,0,6/24/24,Y,0,0,0,0
Physaria globosa,19-1-4,322,9,1,T19R1C4,2021-0838-1 7,3/25/24,4/2/24,4/26/24,,5/14/24,Y,2,1,1.48,8,39,7.2,2.8,N ,N ,N ,N ,5/21/24,Y,N,N,N,N,5/28/24,Y,8.2,2.8,0,0,N,N,5/31/24,Y,0,0,N,N,6/3/24,Y,0,0,0,0,6/4/24,Y,0,7.5,2.9,6/5/24,0,0,0,0,6/7/24,Y,0,0,0,0,6/10/24,Y,0,0,0,0,6/11/24,Y,0,7,3,6/12/24,Y,0,0,0,0,6/14/24,Y,0,0,0,0,6/17/24,Y,0,0,0,0,6/19/24,Y,0,0,0,0,6/24/24,Y,0,0,0,0
Physaria globosa,18-1-6,258,10,1,T18R1C6,2018-1133-2 7,3/24/24,4/1/24,4/26/24,,5/14/24,Y,1,1,1.45,9.5,11,5.4,2,N ,N ,N ,N ,5/21/24,Y,N,N,N,N,5/28/24,Y,6.8,2.5,0,0,N,N,5/31/24,Y,0,0,N,N,6/3/24,Y,0,0,0,0,6/4/24,Y,0,7.2,2.7,6/5/24,0,0,0,0,6/7/24,Y,0,0,0,0,6/10/24,Y,0,0,0,0,6/11/24,Y,0,6.5,2.75,6/12/24,Y,0,0,0,0,6/14/24,Y,0,0,0,0,6/17/24,Y,0,0,0,0,6/19/24,Y,0,0,0,0,6/24/24,Y,0,0,0,0
